Descargas realizadas el 25/07/2022 13:14 de Gestión Embase
__________________________________________________________
24/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
25/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
26/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 45; 
27/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
28/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
29/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
30/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
31/05/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
01/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
02/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
03/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
04/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
05/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
06/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
07/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 33; 
08/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 15; 
09/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 8; 
10/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 12; 
11/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 56; 
12/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
13/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
14/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
15/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
16/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 5; 
17/06/2000; 700; Central Rincón del Bonete; Alto Río Negro; Aguiar; Paso Mazangano; 0; 
